Make,Model,Survival.Index,Damage.Index,Frequency.Score,Risk.Score,Total_Persons
Mcdonnell Douglas,MD-83,0.6666666666666666,0.5666666666666667,0.00023591787497627176,0.3034041086958262,311.0
Mcdonnell Douglas,MD-88,0.9513888888888888,0.7,2.699471674829355e-05,0.22945254285946895,144.0
Mcdonnell Douglas,MD11,0.6666666666666666,0.43333333333333335,0.000545785324439054,0.26349706893066505,255.0
Mcdonnell Douglas,MD88,0.9898612112472963,0.5,5.39894334965871e-05,0.15407171233113043,298.0
Mcdonnell-douglas,DC-10-10,0.9935483870967742,0.3,2.699471674829355e-05,0.09258874357631482,155.0
Mcdonnell-douglas,DC-10-30,0.9354838709677419,0.5,0.00018192844147968466,0.17586103014534715,217.0
Mitsubishi,MU-2B,0.25,0.85,5.39894334965871e-05,0.5550161968300489,7.0
Mitsubishi,MU-2B-20,0.9,0.7,5.39894334965871e-05,0.25001619683004894,6.0
Mitsubishi,MU-2B-25,0.5,0.65,0.0002089231582279782,0.3950626769474684,8.0
Mitsubishi,MU-2B-30,0.0,1.0,2.699471674829355e-05,0.7000080984150244,7.0
Mitsubishi,MU2B,0.5,0.85,5.39894334965871e-05,0.4550161968300489,5.0
Mitsubishi,MU2B-40,0.0,1.0,2.699471674829355e-05,0.7000080984150244,6.0
Molino Oy,MU2-2B-25,1.0,0.7,2.699471674829355e-05,0.2100080984150245,5.0
Mooney,M-20,0.5,0.85,5.39894334965871e-05,0.4550161968300489,5.0
Mooney,M-20C,0.5,0.85,5.39894334965871e-05,0.4550161968300489,11.0
Mooney,M-20F,0.5416666666666666,0.7,5.39894334965871e-05,0.39334953016338237,7.0
Mooney,M-20J,1.0,0.7,0.0001079788669931742,0.21003239366009793,7.0
Mooney,M20,0.3,0.78,0.00013497358374146774,0.5140404920751225,10.0
Mooney,M20A,0.08333333333333333,0.85,0.00016196830048976127,0.6217152571568135,12.0
Mooney,M20B,0.1111111111111111,0.9,8.098415024488063e-05,0.625579850800629,7.0
Mooney,M20C,0.36363636363636365,0.7954545454545454,0.0005938837684624581,0.4933599833123568,38.0
Mooney,M20E,0.5,0.7571428571428571,0.0005668890517141645,0.4273129238583714,34.0
Mooney,M20F,0.6083333333333333,0.7449999999999999,0.000539894334965871,0.3803286349671564,42.0
Mooney,M20G,0.3333333333333333,0.7999999999999999,8.098415024488063e-05,0.50669096191174,5.0
Mooney,M20J,0.6104651162790697,0.7116279069767442,0.0014706402696394046,0.36974351766228714,91.0
Mooney,M20K,0.6052631578947368,0.7473684210526316,0.0005128996182175773,0.38225913304336,35.0
Mooney,M20M,0.8125,0.7,0.0002159577339863484,0.2850647873201959,18.0
Mooney,M20R,0.8888888888888888,0.7666666666666666,0.0002429524507346419,0.2745173301796648,14.0
NANCHANG CHINA,CJ-6A,0.16666666666666666,0.7999999999999999,8.098415024488063e-05,0.5733576285784068,6.0
NAVION,NAVION,0.6,0.76,0.00013497358374146774,0.3880404920751224,9.0
NAVION,NAVION G,0.375,0.7,0.0001079788669931742,0.46003239366009796,6.0
NEIVA,EMB-720D,0.0,0.7,2.699471674829355e-05,0.6100080984150245,5.0
NEIVA,EMB-721D,0.0,1.0,2.699471674829355e-05,0.7000080984150244,6.0
NEW PIPER,PA46 350P,1.0,0.7,5.39894334965871e-05,0.21001619683004896,6.0
NEW PIPER AIRCRAFT INC,PA-46-500TP,0.5,0.7,5.39894334965871e-05,0.410016196830049,5.0
NORTH AMERICAN,AT-6,0.5,0.7,0.0001079788669931742,0.41003239366009797,7.0
NORTH AMERICAN,AT-6D,0.6,0.6599999999999999,0.00013497358374146774,0.35804049207512245,7.0
NORTH AMERICAN,AT6,0.6666666666666666,0.6999999999999998,8.098415024488063e-05,0.3433576285784068,5.0
NORTH AMERICAN,B25,1.0,0.7,2.699471674829355e-05,0.2100080984150245,9.0
NORTH AMERICAN,NAVION,0.59375,0.6875,0.0002159577339863484,0.3688147873201959,17.0
NORTH AMERICAN,SNJ,1.0,0.7,0.0001079788669931742,0.21003239366009793,7.0
NORTH AMERICAN,SNJ-6,0.8333333333333334,0.6333333333333333,8.098415024488063e-05,0.2566909619117401,5.0
NORTH AMERICAN,T-28B,0.25,0.7749999999999999,0.0001079788669931742,0.532532393660098,5.0
NORTH AMERICAN,T-6G,0.3333333333333333,0.6666666666666666,8.098415024488063e-05,0.4666909619117401,8.0
NORTH AMERICAN,T28,0.3333333333333333,0.6999999999999998,8.098415024488063e-05,0.4766909619117401,5.0
NORTH AMERICAN,TB 25N,1.0,0.7,2.699471674829355e-05,0.2100080984150245,9.0
NORTH AMERICAN,TB-25N,1.0,0.7,2.699471674829355e-05,0.2100080984150245,5.0
Navion,A,0.0,0.85,0.0001079788669931742,0.6550323936600979,9.0
Nihon,YS-11A,0.9230769230769231,0.7,2.699471674829355e-05,0.24077732918425523,39.0
Nord Aviation,262A-12,1.0,0.3,0.00018192844147968466,0.0900545785324439,30.0
North American,0-47B,1.0,1.0,2.699471674829355e-05,0.30000809841502446,5.0
North American,AT-6C,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,5.0
North American,SNJ-5,0.75,0.7,0.0001079788669931742,0.31003239366009794,6.0
North American,T28,0.1111111111111111,0.6666666666666666,8.098415024488063e-05,0.555579850800629,5.0
PAC,750XL - NO SERIES,1.0,1.0,2.699471674829355e-05,0.30000809841502446,14.0
PACIFIC AEROSPACE CORP LTD,750XL,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,17.0
PARTENAVIA,P68,0.0,0.9,8.098415024488063e-05,0.6700242952450735,10.0
PIAGGIO,P180,1.0,0.58,0.0004448410332042499,0.17413345230996127,17.0
PIAGGIO,P180 - AVANTI II,1.0,0.7,2.699471674829355e-05,0.2100080984150245,5.0
PILATUS,PC-12/45,0.0,0.6999999999999998,8.098415024488063e-05,0.6100242952450734,19.0
PILATUS,PC12,0.625,0.7124999999999999,0.0003708914587177395,0.3638612674376153,26.0
PILATUS,PC6,0.14285714285714285,0.85,5.39894334965871e-05,0.5978733396871918,8.0
PILATUS AIRCRAFT LTD,PC-12/47,0.5,0.7,5.39894334965871e-05,0.410016196830049,13.0
PILATUS AIRCRAFT LTD,PC-12/47E,0.6333333333333333,0.6666666666666666,0.00023591787497627176,0.34673744202915957,20.0
PIPER,J3C,0.45,0.6699999999999999,0.000539894334965871,0.4211619683004898,34.0
PIPER,J3C 65,0.625,0.7,0.0002159577339863484,0.36006478732019587,9.0
PIPER,J3C-65,0.5108695652173914,0.6956521739130433,0.0012417569704215032,0.40472035317808297,75.0
PIPER,J3C-85,1.0,0.6,5.39894334965871e-05,0.18001619683004896,6.0
PIPER,J3L-65,0.5,0.7,0.0001079788669931742,0.41003239366009797,6.0
PIPER,J5A,0.7,0.7,0.0002699471674829355,0.3300809841502449,14.0
PIPER,L-4,1.0,0.7,2.699471674829355e-05,0.2100080984150245,7.0
PIPER,PA 11,0.4,0.7,0.00013497358374146774,0.4500404920751224,9.0
PIPER,PA 12,0.7894736842105263,0.731578947368421,0.0005128996182175773,0.30383808041178106,28.0
PIPER,PA 16,0.8571428571428571,0.7,0.00018896301723805484,0.26719954604802854,10.0
PIPER,PA 18,0.7105263157894737,0.7,0.0005128996182175773,0.3259433435696758,27.0
PIPER,PA 18-135,0.7142857142857143,0.7,0.00018896301723805484,0.3243424031908857,8.0
PIPER,PA 18-150,0.6666666666666666,0.6982456140350877,0.0015386988546527323,0.34326862720025547,88.0
PIPER,PA 18A,1.0,0.7,0.0001079788669931742,0.21003239366009793,8.0
PIPER,PA 18A 150,0.875,0.7,0.0002159577339863484,0.2600647873201959,15.0
PIPER,PA 20,0.75,0.7,0.0001079788669931742,0.31003239366009794,7.0
PIPER,PA 22,0.8181818181818182,0.7272727272727273,0.00029694188423122904,0.2909981734743603,16.0
PIPER,PA 22-108,0.3333333333333333,0.7999999999999999,8.098415024488063e-05,0.50669096191174,5.0
PIPER,PA 22-150,0.5555555555555556,0.7333333333333333,0.0002429524507346419,0.39785066351299814,16.0
PIPER,PA 22-160,0.4,0.76,0.00013497358374146774,0.4680404920751224,9.0
PIPER,PA 23-250,0.2916666666666667,0.7999999999999999,0.00016196830048976127,0.5233819238234803,16.0
PIPER,PA 24,0.5,0.6999999999999998,0.00016196830048976127,0.4100485904901469,10.0
PIPER,PA 24-250,0.5333333333333333,0.72,0.00040492075122440323,0.40278814289203396,32.0
